Baden-Wuerttemberg,herbst,2020,20/21,26.10,31.10,
Bayern,herbst,2020,20/21,31.10,06.11,
Berlin,herbst,2020,20/21,12.10,24.10,
Brandenburg,herbst,2020,20/21,12.10,24.10,
Bremen,herbst,2020,20/21,12.10,24.10,
Hamburg,herbst,2020,20/21,05.10,16.10,
Hessen,herbst,2020,20/21,05.10,17.10,
Mecklenburg-Vorpommern,herbst,2020,20/21,05.10,10.10,Erster Teil
Mecklenburg-Vorpommern,herbst,2020,20/21,02.11,03.11,Zweiter Teil
Niedersachsen,herbst,2020,20/21,12.10,23.10,
Nordrhein-Westfalen,herbst,2020,20/21,12.10,24.10,
Rheinland-Pfalz,herbst,2020,20/21,12.10,23.10,
Saarland,herbst,2020,20/21,12.10,23.10,
Sachsen,herbst,2020,20/21,19.10,31.10,
Sachsen-Anhalt,herbst,2020,20/21,19.10,24.10,
Schleswig-Holstein,herbst,2020,20/21,05.10,17.10,
Thueringen,herbst,2020,20/21,17.10,30.10,
,,,,,,
,,,,,,
Baden-Wuerttemberg,weihnachten,2020,20/21,23.12,09.01,
Bayern,weihnachten,2020,20/21,23.12,09.01,
Berlin,weihnachten,2020,20/21,21.12,02.01,
Brandenburg,weihnachten,2020,20/21,21.12,02.01,
Bremen,weihnachten,2020,20/21,23.12,08.01,
Hamburg,weihnachten,2020,20/21,21.12,04.01,
Hessen,weihnachten,2020,20/21,21.12,09.01,
Mecklenburg-Vorpommern,weihnachten,2020,20/21,21.12,02.01,
Niedersachsen,weihnachten,2020,20/21,23.12,08.01,
Nordrhein-Westfalen,weihnachten,2020,20/21,23.12,06.01,
Rheinland-Pfalz,weihnachten,2020,20/21,21.12,31.12,
Saarland,weihnachten,2020,20/21,21.12,31.12,
Sachsen,weihnachten,2020,20/21,23.12,02.01,
Sachsen-Anhalt,weihnachten,2020,20/21,21.12,05.01,
Schleswig-Holstein,weihnachten,2020,20/21,21.12,06.01,
Thueringen,weihnachten,2020,20/21,23.10,02.01,
,,,,,,
,,,,,,
Berlin,winter,2021,20/21,01.02,06.02,
Brandenburg,winter,2021,20/21,01.02,06.02,
Bremen,winter,2021,20/21,01.02,02.02,
Hamburg,winter,2021,20/21,29.01,09.01,
Mecklenburg-Vorpommern,winter,2021,20/21,06.02,18.02,Erster Teil
Mecklenburg-Vorpommern,winter,2021,20/21,19.02,19.02,Zweiter Teil
Niedersachsen,winter,2021,20/21,01.02,02.02,
Saarland,winter,2021,20/21,15.02,19.02,
Sachsen,winter,2021,20/21,08.02,20.02,
Sachsen-Anhalt,winter,2021,20/21,08.02,13.02,
Thueringen,winter,2021,20/21,08.02,13.02,
,,,,,,
,,,,,,
Baden-Wuerttemberg,ostern_fruehjahr,2021,20/21,01.04,01.04,Erster Teil
Baden-Wuerttemberg,ostern_fruehjahr,2021,20/21,06.04,10.04,Zweiter Teil
Bayern,ostern_fruehjahr,2021,20/21,15.02,19.02,Erster Teil
Bayern,ostern_fruehjahr,2021,20/21,29.03,10.04,Zweiter Teil
Berlin,ostern_fruehjahr,2021,20/21,29.03,10.04,
Brandenburg,ostern_fruehjahr,2021,20/21,29.03,09.04,
Bremen,ostern_fruehjahr,2021,20/21,29.03.,10.04,
Hamburg,ostern_fruehjahr,2021,20/21,01.03,12.03,
Hessen,ostern_fruehjahr,2021,20/21,06.04,16.04,
Mecklenburg-Vorpommern,ostern_fruehjahr,2021,20/21,29.03,07.04,
Niedersachsen,ostern_fruehjahr,2021,20/21,29.03,09.04,
Nordrhein-Westfalen,ostern_fruehjahr,2021,20/21,29.03,10.04,
Rheinland-Pfalz,ostern_fruehjahr,2021,20/21,29.03,06.04,
Saarland,ostern_fruehjahr,2021,20/21,29.03,07.04,
Sachsen,ostern_fruehjahr,2021,20/21,02.04,10.04,
Sachsen-Anhalt,ostern_fruehjahr,2021,20/21,29.03,03.04,
Schleswig-Holstein,ostern_fruehjahr,2021,20/21,01.04,16.04,
Thueringen,ostern_fruehjahr,2021,20/21,29.03,10.04,
,,,,,,
,,,,,,
Baden-Wuerttemberg,himmelfahrt_pfingsten,2021,20/21,25.05,05.06,
Bayern,himmelfahrt_pfingsten,2021,20/21,25.05,04.06,
Berlin,himmelfahrt_pfingsten,2021,20/21,14.05,14.05,
Bremen,himmelfahrt_pfingsten,2021,20/21,14.05,04.05,Erster Teil
Bremen,himmelfahrt_pfingsten,2021,20/21,25.05,25.05,Zweiter Teil
Hamburg,himmelfahrt_pfingsten,2021,20/21,10.05,14.05,
Mecklenburg-Vorpommern,himmelfahrt_pfingsten,2021,20/21,14.05,04.05,Erster Teil
Mecklenburg-Vorpommern,himmelfahrt_pfingsten,2021,20/21,21.05,25.05,Zweiter Teil
Niedersachsen,himmelfahrt_pfingsten,2021,20/21,14.05,14.05,Erster Teil
Niedersachsen,himmelfahrt_pfingsten,2021,20/21,25.05,25.05,Zweiter Teil
Nordrhein-Westfalen,himmelfahrt_pfingsten,2021,20/21,25.05,25.05,
Rheinland-Pfalz,himmelfahrt_pfingsten,2021,20/21,25.05,02.06,
Saarland,himmelfahrt_pfingsten,2021,20/21,25.05,28.05,
Sachsen,himmelfahrt_pfingsten,2021,20/21,14.05,14.05,
Sachsen-Anhalt,himmelfahrt_pfingsten,2021,20/21,10.05,22.05,
Schleswig-Holstein,himmelfahrt_pfingsten,2021,20/21,14.05,15.05,
Thueringen,himmelfahrt_pfingsten,2021,20/21,14.05,14.05,
,,,,,,
,,,,,,
Baden-Wuerttemberg,sommer,2021,20/21,29.07,11.09,
Bayern,sommer,2021,20/21,30.07,13.09,
Berlin,sommer,2021,20/21,24.06,06.08,
Brandenburg,sommer,2021,20/21,24.06,07.08,
Bremen,sommer,2021,20/21,22.07,01.09,
Hamburg,sommer,2021,20/21,24.06,04.08,
Hessen,sommer,2021,20/21,19.07,27.08,
Mecklenburg-Vorpommern,sommer,2021,20/21,21.06,31.07,
Niedersachsen,sommer,2021,20/21,22.07,01.09,
Nordrhein-Westfalen,sommer,2021,20/21,05.07,17.08,
Rheinland-Pfalz,sommer,2021,20/21,19.07,27.08,
Saarland,sommer,2021,20/21,19.07,27.08,
Sachsen,sommer,2021,20/21,26.07,03.09,
Sachsen-Anhalt,sommer,2021,20/21,22.07,01.09,
Schleswig-Holstein,sommer,2021,20/21,21.06,31.07,
Thueringen,sommer,2021,20/21,26.07,04.09,
