Baden-Württemberg,herbst,2023,23/24,30.10.,03.11.,
Bayern,herbst,2023,23/24,30.10.,03.11.,
Berlin,herbst,2023,23/24,23.10.,04.11.,
Brandenburg,herbst,2023,23/24,23.10.,04.11.,
Bremen,herbst,2023,23/24,16.10.,30.10.,
Hamburg,herbst,2023,23/24,02.10.,02.10.,Erster Teil
Hamburg,herbst,2023,23/24,16.10.,27.10.,Zweiter Teil
Hessen,herbst,2023,23/24,23.10.,28.10.,
Mecklenburg-Vorpommern,herbst,2023,23/24,09.10.,14.10.,Erster Teil
Mecklenburg-Vorpommern,herbst,2023,23/24,30.10.,01.11.,Zweiter Teil
Niedersachsen,herbst,2023,23/24,16.10.,30.10.,
Nordrhein-Westfalen,herbst,2023,23/24,02.10.,14.10.,
Rheinland-Pfalz,herbst,2023,23/24,16.10.,27.10.,
Saarland,herbst,2023,23/24,23.10.,03.11.,
Sachsen,herbst,2023,23/24,02.10.,14.10.,Erster Teil
Sachsen,herbst,2023,23/24,30.10.,30.10.,Zweiter Teil
Sachsen-Anhalt,herbst,2023,23/24,16.10.,30.10.,
Schleswig-Holstein,herbst,2023,23/24,16.10.,27.10.,
Thüringen,herbst,2023,23/24,02.10.,14.10.,
,,,,,,
,,,,,,
Baden-Württemberg,weihnachten,2023,23/24,23.12.,05.01.,
Bayern,weihnachten,2023,23/24,23.12.,05.01.,
Berlin,weihnachten,2023,23/24,23.12.,05.01.,
Brandenburg,weihnachten,2023,23/24,23.12.,05.01.,
Bremen,weihnachten,2023,23/24,23.12.,05.01.,
Hamburg,weihnachten,2023,23/24,22.12.,05.01.,
Hessen,weihnachten,2023,23/24,27.12.,13.01.,
Mecklenburg-Vorpommern,weihnachten,2023,23/24,21.12.,03.01.,
Niedersachsen,weihnachten,2023,23/24,27.12.,05.01.,
Nordrhein-Westfalen,weihnachten,2023,23/24,21.12.,05.01.,
Rheinland-Pfalz,weihnachten,2023,23/24,27.12.,05.01.,
Saarland,weihnachten,2023,23/24,21.12.,02.01.,
Sachsen,weihnachten,2023,23/24,23.12.,02.01.,
Sachsen-Anhalt,weihnachten,2023,23/24,21.12.,03.01.,
Schleswig-Holstein,weihnachten,2023,23/24,27.12.,06.01.,
Thüringen,weihnachten,2023,23/24,22.12.,05.01.,
,,,,,,
,,,,,,
Berlin,winter,2024,23/24,05.02.,10.02.,
